CDS;ERR2036629;ERR2036630;ERR2036631;ERR2036632;ERR2036633
CMHJGECF_00404;834;628;5807;4995;787
CMHJGECF_00405;208;177;1718;1582;235
CMHJGECF_00406;112;77;752;758;122
CMHJGECF_00407;46;36;348;329;33
CMHJGECF_00408;150;105;980;879;126
CMHJGECF_00409;56;44;423;368;50
CMHJGECF_00410;61;46;633;621;72
CMHJGECF_00411;1696;807;11313;8716;1318
CMHJGECF_00412;198;182;1439;1580;231
CMHJGECF_00413;951;836;6443;6282;935
CMHJGECF_00414;22;27;215;239;27
CMHJGECF_00415;450;343;2655;2054;377
CMHJGECF_00416;67;41;430;307;46
CMHJGECF_00417;226;125;1345;1301;186
CMHJGECF_00418;553;281;3261;2696;403
CMHJGECF_00419;73;38;411;435;74
CMHJGECF_00420;140;88;762;685;114
CMHJGECF_00421;173;108;989;839;160
CMHJGECF_00422;15;21;136;120;11
CMHJGECF_00423;181;115;1420;1327;152
CMHJGECF_00424;382;343;2138;2837;328
CMHJGECF_00425;130;90;1037;1137;130
CMHJGECF_00426;127;149;863;1249;158
CMHJGECF_00427;69;89;531;717;95
CMHJGECF_00428;281;185;2472;3138;229
CMHJGECF_00429;0;2;6;12;1
CMHJGECF_00430;12;8;142;110;10
CMHJGECF_00431;8;4;67;75;10
CMHJGECF_00432;29;28;252;270;24
CMHJGECF_00433;0;0;0;0;0
CMHJGECF_00434;34;25;585;456;23
CMHJGECF_00435;45;32;553;491;57
CMHJGECF_00436;2;8;32;46;8
CMHJGECF_00437;5;2;49;52;8
CMHJGECF_00438;0;0;0;0;0
CMHJGECF_00439;19;16;62;106;12
CMHJGECF_00440;19;16;124;107;18
CMHJGECF_00441;27;32;58;76;22
CMHJGECF_00442;22;38;260;407;25
CMHJGECF_00443;9;19;199;194;21
CMHJGECF_00444;42;35;451;429;46
CMHJGECF_00445;17;13;102;188;10
CMHJGECF_00446;52;57;377;642;55
CMHJGECF_00447;1053;724;7095;8600;925
CMHJGECF_00448;339;262;3017;3517;316
CMHJGECF_00449;323;191;2973;2700;304
CMHJGECF_00451;40;31;359;308;34
CMHJGECF_00452;150;90;1527;849;137
CMHJGECF_00453;483;217;2771;2085;361
CMHJGECF_00454;287;146;1812;1362;209
CMHJGECF_00455;404;162;2439;1669;272
CMHJGECF_00456;124;78;888;924;129
CMHJGECF_00457;165;111;1117;919;128
CMHJGECF_00459;82;58;1067;1261;64
CMHJGECF_00460;224;149;1232;1177;203
CMHJGECF_00461;382;235;2770;2334;265
CMHJGECF_00462;147;114;1248;890;118
CMHJGECF_00463;55;29;632;416;48
CMHJGECF_00464;151;79;1421;1032;116
CMHJGECF_00465;350;193;2951;2281;283
CMHJGECF_00466;195;152;1633;1254;145
CMHJGECF_00467;213;149;1299;1154;175
CMHJGECF_00468;85;33;381;413;56
CMHJGECF_00469;380;229;2354;1804;299
CMHJGECF_00470;356;153;2110;1572;278
CMHJGECF_00471;258;193;1532;1560;229
CMHJGECF_00472;64;43;504;406;41
CMHJGECF_00473;312;192;2125;1489;251
CMHJGECF_00474;272;160;1693;1663;191
CMHJGECF_00475;83;70;651;641;66
CMHJGECF_00476;248;192;1591;1723;220
CMHJGECF_00477;179;125;911;1269;153
CMHJGECF_00478;18;17;198;214;14
CMHJGECF_00479;89;59;911;1054;61
CMHJGECF_00480;125;85;803;730;107
CMHJGECF_00481;347;227;1889;1545;244
CMHJGECF_00482;411;274;2445;2685;336
CMHJGECF_00483;574;522;7818;10016;644
CMHJGECF_00484;233;194;2018;2217;208
CMHJGECF_00485;41;31;379;307;35
CMHJGECF_00486;214;168;1581;1632;190
CMHJGECF_00487;572;409;3780;3830;484
CMHJGECF_00488;1282;617;6089;5165;1005
CMHJGECF_00489;813;473;4233;4250;621
CMHJGECF_00490;1363;1062;8426;8130;1228
CMHJGECF_00491;86;79;671;867;65
CMHJGECF_00492;235;190;1895;1522;235
CMHJGECF_00493;232;162;1588;1283;165
CMHJGECF_00494;174;139;1476;1523;152
CMHJGECF_00495;839;727;5242;5897;919
CMHJGECF_00496;397;306;3498;4811;382
CMHJGECF_00497;1130;964;8462;6727;1170
CMHJGECF_00498;181;155;1402;1235;192
CMHJGECF_00499;162;100;1206;1009;142
CMHJGECF_00500;52;14;135;97;27
CMHJGECF_00501;191;92;1192;998;137
CMHJGECF_00502;400;262;2548;2337;333
CMHJGECF_00503;192;163;1323;1266;210
CMHJGECF_00505;845;268;2287;1550;473
CMHJGECF_00506;826;337;3693;3037;557
CMHJGECF_00507;165;70;585;458;91
CMHJGECF_00508;223;144;1137;1030;156
CMHJGECF_00509;559;253;3232;2745;319
CMHJGECF_00510;218;153;1798;1601;186
CMHJGECF_00511;119;88;574;554;120
CMHJGECF_00512;41;30;311;271;47
CMHJGECF_00513;3192;2468;15945;18318;2918
CMHJGECF_00514;87;55;582;509;75
CMHJGECF_00515;36;24;300;221;23
CMHJGECF_00516;154;134;1609;2033;150
CMHJGECF_00517;203;133;2044;1827;183
CMHJGECF_00518;163;98;1072;931;105
CMHJGECF_00519;220;170;1481;1157;217
CMHJGECF_00520;64;39;623;413;66
CMHJGECF_00521;21;20;123;122;19
CMHJGECF_00522;378;192;1558;1248;263
CMHJGECF_00523;778;533;3883;3704;836
CMHJGECF_00524;125;94;840;679;64
CMHJGECF_00525;121;106;834;748;85
CMHJGECF_00526;30;20;213;178;33
CMHJGECF_00527;168;108;1144;873;135
CMHJGECF_00528;572;288;3756;2847;372
CMHJGECF_00529;429;299;3146;2493;416
CMHJGECF_00530;120;71;737;724;83
CMHJGECF_00531;133;77;971;893;146
CMHJGECF_00532;1401;1718;19753;30536;1799
CMHJGECF_00533;250;197;1431;1045;215
CMHJGECF_00534;1237;732;6336;5216;1198
CMHJGECF_00535;591;396;3185;2367;610
CMHJGECF_00536;274;235;1730;1629;281
CMHJGECF_00537;274;186;2687;2192;235
CMHJGECF_00538;126;72;864;807;124
CMHJGECF_00539;39;35;434;366;46
CMHJGECF_00540;36;30;321;314;39
CMHJGECF_00541;44;31;368;478;54
CMHJGECF_00542;103;131;1275;1532;137
CMHJGECF_00543;95;75;969;872;84
CMHJGECF_00544;71;17;435;522;15
CMHJGECF_00545;84;52;409;413;75
CMHJGECF_00546;56;46;552;410;45
CMHJGECF_00547;198;157;2039;2016;222
CMHJGECF_00548;354;201;2843;2826;317
CMHJGECF_00549;513;297;3756;3387;395
CMHJGECF_00550;375;201;3135;2661;240
CMHJGECF_00551;609;315;6006;5495;549
CMHJGECF_00552;240;174;2517;2111;180
CMHJGECF_00553;256;170;2874;2185;231
CMHJGECF_00554;78;64;719;772;60
CMHJGECF_00555;471;281;4300;2966;334
CMHJGECF_00556;635;485;5749;6509;635
CMHJGECF_00557;130;117;1611;1485;139
CMHJGECF_00558;84;52;532;593;68
CMHJGECF_00559;418;239;3090;3075;364
CMHJGECF_00560;10;7;291;223;5
CMHJGECF_00561;370;296;2420;2714;382
CMHJGECF_00562;17392;10350;125780;82500;15041
CMHJGECF_00563;375;221;2254;1937;308
CMHJGECF_00564;6;3;96;99;5
CMHJGECF_00565;4;2;39;9;4
CMHJGECF_00566;21;19;176;200;19
CMHJGECF_00567;5;4;61;52;14
CMHJGECF_00568;0;5;35;57;6
CMHJGECF_00569;19;19;182;172;28
CMHJGECF_00570;22;13;109;139;13
CMHJGECF_00571;153;100;1406;1056;93
CMHJGECF_00572;389;131;3726;2783;235
CMHJGECF_00573;68;46;866;837;53
CMHJGECF_00574;289;189;2252;1795;244
CMHJGECF_00575;137;139;1787;1920;161
CMHJGECF_00576;265;208;1576;1370;271
CMHJGECF_00577;979;675;7564;5837;819
CMHJGECF_00578;478;221;3141;2759;316
CMHJGECF_00579;431;229;2923;2862;327
CMHJGECF_00581;48;30;509;529;46
CMHJGECF_00582;290;216;2574;2336;316
CMHJGECF_00583;157;110;1244;966;133
CMHJGECF_00584;131;96;1576;1302;119
CMHJGECF_00585;93;25;338;329;27
CMHJGECF_00586;140;38;654;516;48
CMHJGECF_00587;343;72;1435;1022;86
CMHJGECF_00588;237;87;1268;1133;103
CMHJGECF_00589;183;71;1330;1174;88
CMHJGECF_00590;221;94;1696;1386;148
CMHJGECF_00591;142;75;1112;896;95
CMHJGECF_00592;71;31;554;485;23
CMHJGECF_00593;48;32;352;359;35
CMHJGECF_00594;42;27;214;279;23
